overall,potential,age,league_id,league_name,club_team_id,club_name,value_eur,nationality_id,nationality_name,preferred_foot,club_jersey_number,Goalkeeper,Defense,Midfield,Attack
-1.3650213816676704,-0.9537198479136054,18,308,Primeira Liga,114510,Casa Pia,450000,119,Guinea-Bissau,1,74,0,0,1,0
-1.6282676295458256,-0.16512353509866737,20,68,Süper Lig,113142,Alanyaspor,425000,21,Germany,1,13,0,1,1,0
-1.891513877423981,-0.7960005853506178,18,4,Pro League,230,Royal Antwerp FC,300000,133,Nigeria,1,76,0,0,1,1
-2.1547601253021362,-2.0577546858545186,23,350,Pro League,113037,Al Riyadh,210000,183,Saudi Arabia,1,15,0,0,1,0
-1.3650213816676704,-1.2691583730395806,21,308,Primeira Liga,1887,Vitória SC,500000,7,Belgium,1,48,0,0,1,1
0.7409486013575718,-0.0074042725356797704,34,350,Pro League,131798,NEOM SC,1800000,111,Egypt,1,26,0,1,0,0
-1.891513877423981,-2.688631736106469,25,350,Pro League,112393,Al Taawoun FC,170000,183,Saudi Arabia,1,82,0,0,1,1
-1.7598907534849033,-0.7960005853506178,20,80,Bundesliga,209,SK Sturm Graz,350000,8,Bosnia and Herzegovina,0,26,0,0,0,1
-0.5752826380332046,-0.32284279766165497,23,308,Primeira Liga,744,Rio Ave FC,1500000,18,France,1,63,0,1,1,0
-0.5752826380332046,0.15031499002730783,22,4,Pro League,232,Standard de Liège,1500000,7,Belgium,1,29,0,1,0,0
-0.44365951409412696,-1.4268776356025683,31,4,Pro League,132231,RAAL La Louvière,575000,136,Senegal,1,4,0,1,0,0
-1.3650213816676704,0.15031499002730783,17,53,La Liga,241,FC Barcelona,550000,45,Spain,1,27,0,0,1,0
-0.5752826380332046,1.254349827968221,19,31,Serie A,47,AC Milan,1700000,21,Germany,1,27,0,1,0,0
-1.3650213816676704,-0.32284279766165497,18,4,Pro League,229,RSC Anderlecht,525000,129,Morocco,1,22,0,0,0,1
-2.2863832492412137,-1.5845968981655558,20,350,Pro League,112390,Al Fateh,180000,183,Saudi Arabia,0,63,0,1,1,0
-0.9701520098504375,-1.5845968981655558,24,4,Pro League,230,Royal Antwerp FC,475000,163,Japan,1,4,0,1,0,0
-0.7069057619722823,-1.4268776356025683,28,350,Pro League,112096,Al Ettifaq,600000,183,Saudi Arabia,0,25,0,1,0,0
-1.2333982577285927,-1.5845968981655558,22,4,Pro League,132231,RAAL La Louvière,350000,18,France,0,3,0,1,1,0
-0.9701520098504375,-0.16512353509866737,20,332,Premier League,101059,Shakhtar Donetsk,950000,187,Tajikistan,1,77,0,0,1,1
-1.1017751337895152,0.30803425259029543,19,80,Bundesliga,191,FC Red Bull Salzburg,800000,4,Austria,1,44,0,1,0,0
-1.2333982577285927,-2.3731932109804936,30,350,Pro League,113057,Al Fayha,240000,183,Saudi Arabia,1,11,0,0,1,1
-1.496644505606748,-1.2691583730395806,21,68,Süper Lig,110776,Gaziantep FK,450000,8,Bosnia and Herzegovina,1,27,0,0,1,1
-0.7069057619722823,-1.7423161607285433,30,2018,Serie A,110986,LDU Quito,475000,57,Ecuador,1,6,0,1,0,0
-0.5752826380332046,-0.9537198479136054,25,2018,Serie A,114615,Mushuc Runa,900000,57,Ecuador,1,44,0,1,0,0
-0.8385288859113599,-0.16512353509866737,21,31,Serie A,110556,Genoa,1000000,13,Denmark,1,34,0,1,0,0
-1.496644505606748,-0.7960005853506178,17,308,Primeira Liga,1888,Gil Vicente FC,475000,38,Portugal,1,80,0,0,1,1
-1.3650213816676704,-1.7423161607285433,26,350,Pro League,131798,NEOM SC,300000,183,Saudi Arabia,1,4,0,1,0,0
